idx,class,conversation
30,일반 대화,"머리 스타일 바꾸셨네요? 잘 어울려요.\n아, 알아보셨네요? 감사합니다. 기분 전환 겸 잘랐어요.\n훨씬 가벼워 보이고 산뜻해 보여요.\n정말요? 다행이다. 안 어울릴까 봐 걱정했거든요.\n아니에요. 너무 예뻐요. 저도 자르고 싶어지네요.\n하하. 이따가 미용실 정보 드릴게요."
31,일반 대화,"오늘 점심 뭐였어요?\n구내식당에서 돈가스 나왔어요. 맛있던데요?\n아, 진짜요? 전 오늘 도시락 싸 와서... 돈가스 먹고 싶네요.\n내일은 맛있는 거 드세요. 내일 메뉴 뭐지?\n아까 보니까 \n제육볶음이던데요?\n오! 그럼 내일은 무조건 구내식당 가야겠네요."
32,일반 대화,"이 서류 혹시 언제까지 드리면 될까요?\n아, 그거 오늘 3시까지 부탁드려도 될까요?\n네. 그럼 검토하고 바로 전달드리겠습니다.\n감사합니다. 혹시 어려운 부분 있으면 편하게 물어보세요.\n알겠습니다. 이따 뵙겠습니다.\n네, 수고하세요."
33,일반 대화,"요즘 주식 시장이 너무 안 좋은 것 같아.\n맞아. 내 주식도 지금 다 파란불이야.\n언제쯤 오르려나... 그냥 지금이라도 다 팔아야 하나.\n조금만 더 기다려봐. 금방 회복될 수도 있잖아.\n그런가... 다들 힘들다고 하니까 나만 그런 건 아닌가 싶네.\n우리 맛있는 거나 먹으러 가자. 기분 전환하게."
34,일반 대화,"어? 지금 퇴근하시는 거예요?\n네. 오늘 일이 좀 일찍 끝나서요. 먼저 들어가 보겠습니다.\n부럽네요. 전 아직 한참 남았는데.\n힘내세요. 내일 봬요.\n네, 조심히 들어가세요!\n네. 수고하세요."
35,일반 대화,"택배 왔네요! 뭐 시키셨어요?\n아, 인터넷으로 주문한 옷이요. 드디어 왔네요.\n어디 한번 볼까요? 와, 색깔 예쁘다.\n그쵸? 화면에서 본 것보다 더 예쁜 것 같아요.\n한번 입어보세요. 잘 어울릴 것 같아요.\n네. 이따 점심시간에 한번 입어봐야겠어요."
36,일반 대화,"오늘 따라 유난히 피곤하네.\n어제 잠 못 잤어? 눈이 퀭한데.\n응. 늦게까지 유튜브 보다가 새벽에 잤어.\n어휴. 그러니까 피곤하지. 오늘 일찍 자.\n알았어. 점심 먹고 잠깐이라도 눈 좀 붙여야겠다.\n그래. 밥 먹고 깨워줄게."
37,일반 대화,"이 노래 너무 좋다. 누구 노래야?\n이거 아이유 신곡이잖아. 너 아직 안 들어봤어?\n아, 진짜? 요즘 노래를 통 안 들었더니.\n한번 들어봐. 앨범 전곡이 다 좋아.\n그래야겠다. 제목이 뭐라고?\n'Love wins all'이야. 뮤비도 꼭 봐!"
3Music,일반 대화,"오늘 저녁 약속 장소 어디로 정할까?\n음... 강남역 근처가 어떨까? 다들 오기 편할 것 같은데.\n좋아. 그럼 내가 맛집 좀 찾아볼게. 뭐 먹고 싶어?\n나는 파스타나 피자 같은 이탈리안 요리?\n오케이. 그럼 '강남역 맛집'으로 검색해 본다.\n찾으면 단톡방에 공유해 줘!"
39,일반 대화,"다시 태어나면 뭐 하고 싶어?\n음... 나는 건물주 하고 싶어.\n하하. 너무 현실적인 거 아니야?\n그럼 너는? 넌 뭐 하고 싶은데?\n나는 세계 여행하면서 자유롭게 살고 싶어.\n그것도 좋겠다. 일단 이번 생부터 열심히 살자."
40,일반 대화,"오늘따라 커피가 왜 이렇게 쓰지.\n그래? 나는 맛있는데. 너무 피곤해서 그런 거 아니야?\n그런가 봐. 샷을 너무 많이 넣었나.\n시럽 좀 넣어줄까? 여기 있는데.\n아니야, 괜찮아. 그냥 마실래. 잠 깨고 좋지 뭐.\n그래. 그럼 조금만 마시고 쉬었다 해."
41,일반 대화,"휴대폰 배터리가 벌써 20%밖에 안 남았네.\n보조배터리 안 가져왔어? 내 거 빌려줄까?\n아, 진짜? 그럼 너무 고맙지! 케이블은 있어?\n응. C타입, 8핀 다 있어. 어떤 거 쓰는데?\n나 아이폰이라 8핀 써야 해.\n알았어. 잠깐만 기다려. 가방에서 꺼내줄게."
42,일반 대화,"주말에 소개팅했는데 잘 안됐어.\n왜? 무슨 일 있었어?\n그냥... 나랑은 좀 안 맞는 사람 같더라고.\n어떤 점이?\n말도 잘 안 통하고, 공감대도 없고... 밥만 먹고 헤어졌어.\n아쉽네. 더 좋은 사람 만날 수 있을 거야. 힘내!\n그래, 고맙다."
43,일반 대화,"이거 1+1 행사 상품인데 하나 드릴까요?\n어, 정말요? 뭔데요?\n비타민 음료요. 아침에 피곤해 보이셔서요.\n감사합니다! 잘 마실게요. \n00씨도 하나 드세요.\n저는 괜찮아요. 맛있게 드세요.\n덕분에 힘이 나네요. 고마워요."
44,일반 대화,"오늘 회식 장소 어디로 정해졌어요?\n어제 공지한 거 못 봤어요? 1층 로비에 있는 삼겹살집이요.\n아, 진짜요? 전 오늘따라 파스타가 먹고 싶었는데.\n어쩔 수 없죠. 부장님이 삼겹살 먹고 싶다고 하셔서.\n하긴... 그래도 고기 먹으면 기분은 풀리겠죠?\n그럼요. 이따가 맛있게 먹어요, 우리."
45,일반 대화,"이번 달 월급은 언제 들어온대?\n원래 25일인데, 이번 달은 주말이 껴서 23일에 들어온다던데.\n헐, 진짜? 그럼 내일모레 들어오는 거네?\n응. 그래서 다들 오늘 기분이 좋아 보이나 봐.\n대박. 뭐 살지 미리 장바구니에 담아놔야겠다.\n나는 적금부터 넣어야지..."
46,일반 대화,"저기요, 혹시 지금 몇 시인지 알 수 있을까요?\n네, 지금 3시 15분이요.\n아, 감사합니다. 제가 핸드폰을 두고 와서요.\n아, 그러셨구나. 혹시 급한 연락 오실 데 있으세요?\n아니요. 그건 아닌데... 그냥 시간이 궁금해서요.\n네. 알겠습니다."
47,일반 대화,"내일 연차 쓰신 거예요? 부럽다.\n네. 병원 가야 할 일이 있어서요.\n아, 어디 안 좋으세요?\n그건 아니고, 정기 검진받으러 가는 거예요.\n다행이네요. 그럼 푹 쉬고 오세요.\n네. 감사합니다. 내일 봬요."
48,일반 대화,"복권 1등 되면 뭐 할 거야?\n나는 일단 회사부터 그만둘 거야.\n하하. 다들 똑같은 생각 하는구나.\n그리고 가족들이랑 세계 여행 다닐 거야. 너는?\n나는 서울에 아파트 한 채 사고, 차도 바꾸고.\n와, 생각만 해도 행복하다. 오늘 로또나 사러 가야겠다."
49,일반 대화,"오늘 저녁에 비 온다고 하던데, 우산 챙겼어?\n아니! 전혀 몰랐네. 너는?\n나는 아침에 일기예보 보고 작은 거 하나 챙겼지.\n다행이다. 이따 퇴근할 때 같이 쓰자.\n그래. 대신 저녁은 네가 사는 거다?\n콜! 밥 먹고 가자."
50,일반 대화,"이거 어떻게 뜯는 거예요? 안 뜯어지네요.\n어디 줘보세요. 이거 이쪽을 잡고 돌리면 돼요.\n아, 이렇게요? 와, 정말 쉽게 열리네요.\n네. 이게 요령이 좀 필요하더라고요.\n감사합니다. 덕분에 살았네요.\n별말씀을요. 맛있게 드세요."
5D,일반 대화,"오늘따라 인터넷이 왜 이렇게 느리지?\n그러게요. 저도 아까부터 계속 로딩 중이에요.\n서버에 문제 있나? 다들 그런 것 같은데.\n총무팀에 한번 물어볼까요?\n네, 그래 주세요. 지금 급하게 처리할 게 있어서요.\n알겠습니다. 제가 바로 전화해 볼게요."
52,일반 대화,"어제 '나 혼자 산다' 봤어?\n응! 기안84 마라톤 하는 거 보고 감동받았잖아.\n나도. 진짜 대단한 것 같아. 포기하지 않는 모습이.\n맞아. 보면서 나도 뭐든 열심히 해야겠다는 생각 들더라.\n그러게 말이야. 오늘부터라도 운동 시작해야겠어.\n작심삼일 안 되게 꾸준히 해봐!"
53,일반 대화,"이메일 보냈는데 혹시 확인하셨어요?\n아, 지금 막 확인하려고 했어요. 잠시만요.\n네. 첨부파일 확인하시고 회신 부탁드립니다.\n네. 확인했습니다. 내용 검토하고 30분 내로 회신 드릴게요.\n감사합니다. 그럼 기다리고 있겠습니다.\n네. 수고하세요."
54,일반 대화,"어제 새로 산 셔츠인데 어때? 괜찮아?\n오, 예쁜데? 색깔이 너랑 잘 어울린다.\n정말? 다행이다. 인터넷으로 사서 걱정했는데.\n어디서 샀어? 나도 이런 스타일 좋아하는데.\n'무신사'에서 샀어. 이따 링크 보내줄게.\n고마워! 나도 한번 봐야겠다."
55,일반 대화,"요즘 무슨 책 읽으세요?\n'돈의 속성'이라는 책 읽고 있어요.\n아, 그 책 유명하던데. 어때요?\n생각보다 재밌고 배울 점이 많더라고요. 돈에 대해 다시 생각해보게 됐어요.\n그래요? 저도 한번 읽어봐야겠네요. 도서관에 있으려나?\n아마 있을 거예요. 베스트셀러였으니까요."
56,일반 대화,"오늘 점심은 샌드위치로 간단하게 때울까?\n나는 좋은데, 너 배 안 고프겠어?\n괜찮아. 아침을 늦게 먹어서 별로 생각 없어.\n그럼 근처 서브웨이 갈까? 오랜만에 먹고 싶네.\n좋아! 나는 에그마요 먹어야지.\n나는 이탈리안 비엠티! 빨리 가자."
57,일반 대화,"회의실 예약하려고 하는데, 어떻게 하는 거예요?\n아, 그거 인트라넷 들어가서 하시면 돼요.\n인트라넷 어디요? 제가 잘 못 찾겠어서...\n제가 화면 보여드릴게요. 이쪽으로 오시겠어요?\n아, 여기 있었네요! 감사합니다.\n네. 시간 확인하시고 예약하시면 됩니다."
58,일반 대화,"오늘 입으신 옷 너무 예뻐요.\n감사합니다. 어제 쇼핑몰에서 샀어요.\n봄이랑 너무 잘 어울리는 색깔이에요. 화사해 보여요.\n그런가요? 하하. 기분 좋네요.\n저도 그런 옷 하나 사고 싶네요. 혹시 어디서 샀는지 알려주실 수 있어요?\n그럼요. 이따 점심시간에 알려드릴게요."
59,일반 대화,"벌써 5시네. 오늘 시간 진짜 안 간다.\n맞아. 월요일이라 그런가? 유난히 피곤하네.\n퇴근 시간까지 1시간 남았다. 조금만 더 힘내자.\n그러게. 퇴근하고 뭐 할 거야?\n집에 가서 치킨 시켜 먹을 거야. 너는?\n나는 운동 가야지. 어제 너무 많이 먹었어."
60,일반 대화,"혹시 근처에 ATM 기계 어디 있는지 아세요?\n저기 편의점 안에 하나 있어요.\n아, 그래요? 감사합니다! 급하게 돈 뽑을 일이 생겨서요.\n그럼 빨리 다녀오세요.\n네! 금방 다녀오겠습니다.\n천천히 오세요."
61,일반 대화,"요즘 살이 너무 찐 것 같아.\n그래? 별로 티 안 나는데?\n아니야. 바지가 안 맞아. 오늘부터 다이어트해야겠어.\n정말? 그럼 저녁 굶는 거야?\n저녁은 먹어야지. 샐러드 먹으려고.\n대단하다. 나는 못할 것 같은데. 파이팅!"
62,일반 대화,"이번 주 금요일에 시간 어때?\n금요일? 왜? 무슨 일 있어?\n오랜만에 동기들 모여서 술 한잔하기로 했는데.\n아, 진짜? 누구누구 오는데?\n나랑 너랑, 철수랑 영희. 다 모이기로 했어.\n좋다! 나도 갈래. 몇 시에 어디서 봐?"
63,일반 대화,"컴퓨터가 또 멈췄네. 왜 이러지?\n어제부터 계속 그러는 것 같은데. 바이러스 먹은 거 아니야?\n그런가? 백신 프로그램 한번 돌려봐야겠다.\n그래도 안 되면 IT팀에 문의해 봐. 컴퓨터 바꿔줄지도 모르잖아.\n제발 그랬으면 좋겠다. 이거 너무 느려서 못쓰겠어.\n일단 백신부터 돌려봐."
64,일반 대화,"다음 주 월요일에 휴가 내도 될까요?\n월요일이요? 특별한 일 있으세요?\n네. 부모님 모시고 병원 가야 해서요.\n아, 그러세요? 알겠습니다. 그럼 휴가 결재 올리세요.\n감사합니다, 팀장님!\n네. 일은 미리미리 인수인계해 주시고요."
66,일반 대화,"오늘 버스에 사람이 너무 많아서 힘들었어.\n나도. 콩나물시루인 줄 알았잖아.\n특히 어떤 아저씨가 계속 밀어서 짜증 났어.\n어휴, 고생했네. 이래서 자가용이 있어야 하나 봐.\n그러게 말이야. 돈 열심히 벌어서 차부터 사야겠어.\n나도... 우리 파이팅 하자."
67,일반 대화,"이 근처에 주차할 만한 곳 있을까요?\n글쎄요... 이쪽이 다 유료 주차장이라.\n공영 주차장은 없나요?\n저기 두 블록 더 가면 하나 있긴 한데, 자리가 있을지 모르겠네요.\n아, 그렇구나... 일단 가봐야겠네요. 감사합니다.\n네. 자리 있었으면 좋겠네요."
6Red,일반 대화,"오늘 날씨가 꾸리꾸리하네.\n그러게. 비가 오려나?\n이런 날은 파전에 막걸리인데.\n크... 생각만 해도 좋다. 오늘 저녁 콜?\n좋지! 퇴근하고 바로 전집으로 가자.\n오케이. 내가 맛있는 데 알아놨어."
69,일반 대화,"프린터가 또 고장 났나 봐요. 용지가 계속 걸려요.\n어디 봐봐요. 아, 용지를 너무 많이 넣어서 그런 것 같은데.\n그런가요? 그럼 좀 빼고 다시 해볼까요?\n네. 그리고 여기 롤러 부분도 한번 닦아주세요.\n알겠습니다. 어휴, 기계는 너무 어려워요.\n저도 잘 몰라요. 하다 보니 늘더라고요."
7G,일반 대화,"오늘 점심은 내가 살게. 뭐 먹고 싶어?\n헐, 진짜? 웬일이야. 무슨 좋은 일 있어?\n어제 보너스 들어왔거든. \n하하.\n대박! 축하해! 그럼 나 비싼 거 먹어도 돼?\n당연하지. 저기 새로 생긴 레스토랑 가볼까?\n좋아! 얼른 가자. 배고파."
71,일반 대화,"요즘 너무 피곤해서 영양제 좀 먹어볼까 해.\n오, 좋은 생각이야. 나는 비타민C랑 오메가3 챙겨 먹고 있어.\n그래? 먹으니까 좀 효과가 있어?\n응. 확실히 아침에 일어나는 게 덜 피곤하더라고.\n나도 그거로 사볼까? 어디 거 먹어?\n나는 'OOO' 제품 먹는데 괜찮은 것 같아."
72,일반 대화,"김 대리, 오늘 좀 안색이 안 좋아 보이네.\n네. 어젯밤에 잠을 좀 설쳤더니... \n무슨 일 있어? 걱정거리라도?\n아니요. 그런 건 아닌데... 그냥 생각이 많아서요.\n그래? 힘들면 언제든 얘기해. 맛있는 거 사줄게.\n감사합니다, 과장님. 말씀만으로도 힘이 되네요."
73,일반 대화,"오늘 우리 동네에 플리마켓 열린대.\n아, 진짜? 뭐 파는데?\n수제 액세서리랑 옷, 먹거리 같은 거 판다던데.\n재밌겠다! 우리 이따 점심 먹고 구경 갈래?\n좋아! 가서 예쁜 거 있으면 하나 사야겠다.\n나도. 지갑 챙겨서 나가자."
74,일반 대화,"요즘 볼만한 영화 뭐 없을까?\n글쎄... 요즘엔 딱히 끌리는 게 없네.\n나도. 영화관 안 간 지 꽤 된 것 같아.\n집에서 넷플릭스나 보는 게 최고지.\n맞아. 팝콘 튀겨서 '더 글로리'나 다시 볼까?\n그거 좋은 생각이네. 지금 바로 보자."
75,일반 대화,"이번 주말에 친구 결혼식 가야 해.\n와, 벌써 결혼하는 친구가 있어?\n응. 대학 동기인데, 제일 먼저 가네.\n기분이 어때? 부러워?\n부럽기도 하고... 그냥 좀 싱숭생숭하네.\n너도 좋은 사람 만나서 곧 하겠지."
76,일반 대화,"오늘따라 유난히 조용하네요.\n그러게요. 다들 휴가 갔나 봐요.\n부럽다. 우리도 휴가 가고 싶다.\n조금만 참아요. 우리도 다음 주면 휴가잖아요.\n아, 맞다! 생각만 해도 신난다. 어디 가기로 했지?\n우리 부산 가기로 했잖아! 가서 회 실컷 먹자."
77,일반 대화,"이거 서류 복사 좀 부탁드려요.\n네. 몇 부 해드리면 될까요?\n10부 정도 해주시겠어요? 양면으로요.\n알겠습니다. 혹시 스탬플러도 찍어드릴까요?\n네. 그렇게 해주시면 감사합니다.\n알겠습니다. 금방 해드릴게요."
78,일반 대화,"어제 소개팅한 분이랑 잘 됐어요?\n아니요... 그냥 좋은 분이셨어요.\n에이, 또 그 소리. 뭐가 문제였는데요?\n그냥... 제 스타일이 아니었어요. 연락처도 교환 안 했어요.\n까다롭기는. 그러다 평생 혼자 살겠다.\n아니거든! 인연이 있겠지."
79,일반 대화,"오늘 날씨 왜 이래? 너무 덥다.\n그러게. 벌써 여름인가 봐. 땀나.\n에어컨 아직 안 틀어주나?\n아직 5월이라 안 틀어줄걸. 선풍기라도 틀자.\n알았어. 내 거 이쪽으로 좀 돌려줄래?\n그래. 시원하지? 아이스크림 내기나 할까?"
80,일반 대화,"요즘 무슨 노래 즐겨 들어?\n나? 나는 뉴진스 노래.\n아, 역시. '하입보이' 아직도 듣는구나.\n당연하지! 들어도 들어도 안 질린다니까.\n너는? 너는 무슨 노래 듣는데?\n나는 요즘 팝송에 빠졌어. 테일러 스위프트."
8S,일반 대화,"저기요, 혹시 이 버스 강남역 가나요?\n아니요. 이 버스는 반대로 가는 거예요.\n네? 아, 어쩐지... 감사합니다.\n길 건너가서 140번 타셔야 해요.\n아, 정말 감사합니다! 큰일 날 뻔했네요.\n아니에요. 조심히 가세요."
82,일반 대화,"오늘 저녁에 삼겹살 먹으러 갈래?\n삼겹살 좋지! 근데 나 오늘 지갑을 안 가져왔어.\n괜찮아. 내가 사줄게. 월급 탔거든.\n헐, 진짜? 대박! 사랑한다, 친구야!\n대신 네가 고기 구워. 알았지?\n당연하지! 내가 맛있게 구워줄게. 가자!"
83,일반 대화,"요즘 입맛이 없어서 큰일이야.\n왜? 어디 아파?\n그건 아닌데... 그냥 밥 생각이 별로 없네.\n그럴수록 더 잘 챙겨 먹어야 해. 뭐 맛있는 거라도 먹으러 갈까?\n글쎄... 뭐가 맛있을까.\n매콤한 닭발 어때? 입맛 확 돌아올 텐데."
